place,title,time,pay,date
강원 춘천시, 노랑통닭 남춘천점,16:00~02:00,"월급2,500,000",8분전
경기 고양시, 노랑통닭 라페스타점,16:00~02:30,"월급2,500,000",35분전
서울 동작구, 노랑통닭 노량진점,18:00~00:00,"시급8,350",40분전
서울 동작구, 노랑통닭 노량진점,18:00~00:00,"시급8,350",40분전
서울 동작구, 노랑통닭 노량진점,18:00~00:00,"시급8,350",40분전
서울 동작구, 노랑통닭 노량진점,18:00~00:00,"시급8,350",40분전
서울 동작구, 노랑통닭 노량진점,18:00~00:00,"시급8,350",40분전
서울 관악구, 노랑통닭 청림점,19:00~23:00,"시급8,590",59분전
인천 중구, 노랑통닭 인천운서역점,16:00~02:00,"월급2,700,000",59분전
인천 중구, 노랑통닭 인천운서역점,16:00~02:00,"월급2,700,000",59분전
서울 관악구, 노랑통닭 청림점,19:00~23:00,"시급8,590",1시간전
경북 구미시, 노랑통닭 구미봉곡점,18:00~24:00,"시급9,000",1시간전
경기 수원시, 노랑통닭 망포점,18:00~24:00,"시급9,000",1시간전
전국 전체, 노랑통닭 철산점,16:00~02:00,"월급2,500,000",1시간전
서울 광진구, 노랑통닭 건대점,18:00~23:00,"시급8,700",1시간전
서울 노원구, 노랑통닭 공릉점,18:00~23:00,"시급8,590",1시간전
서울 광진구, 노랑통닭 건대점,18:00~23:00,"시급8,700",1시간전
서울 노원구, 노랑통닭 공릉점,18:00~23:00,"시급8,590",1시간전
서울 광진구, 노랑통닭 건대점,18:00~23:00,"시급8,700",1시간전
서울 노원구, 노랑통닭 공릉점,18:00~23:00,"시급8,590",1시간전
경기 시흥시, 노랑통닭 시흥 목감점,18:00~11:00,"시급10,000",1시간전
서울 광진구, 노랑통닭 건대점,18:00~23:00,"시급8,700",1시간전
서울 노원구, 노랑통닭 공릉점,18:00~23:00,"시급8,590",1시간전
경기 시흥시, 노랑통닭 시흥 목감점,18:00~11:00,"시급10,000",1시간전
서울 노원구, 노랑통닭 공릉점,18:00~23:00,"시급8,590",1시간전
경기 수원시, 노랑통닭 나혜석거리점,17:00~02:00,"월급2,200,000",1시간전
서울 강북구, 노랑통닭 수유점,16:00~03:00,"월급2,500,000",2시간전
서울 용산구, 노랑통닭 서울역점,17:00~23:00,"시급9,000",2시간전
경기 고양시, 노랑통닭 대화점,18:00~23:00,"시급9,500",2시간전
경기 수원시, 노랑통닭 아주대점,17:00~03:00,"월급2,500,000",2시간전
경기 구리시, 노랑통닭 구리수택점,18:00~24:00,"시급8,590",2시간전
경기 수원시, 노랑통닭 아주대점,17:00~03:00,"월급2,500,000",2시간전
서울 은평구, 노랑통닭 은평 뉴타운점,17:00~00:00,"시급11,000",2시간전
서울 은평구, 노랑통닭 은평 뉴타운점,17:00~00:00,"시급11,000",2시간전
경북 구미시, 노랑통닭 구미봉곡점,18:00~24:00,"시급9,000",2시간전
서울 강동구, 노랑통닭 천호점,17:00~04:00,"월급2,600,000",2시간전
경기 안양시, 노랑통닭 범계점,18:00~24:00,"시급12,000",2시간전
경기 고양시, 노랑통닭 원흥점,17:00~24:00,"월급2,400,000",3시간전
경기 안양시, 노랑통닭 안양1번가점,16:00~02:00,"월급2,500,000",3시간전
서울 관악구, 노랑통닭 서울대점,18:00~00:00,"시급9,000",3시간전
서울 관악구, 노랑통닭 서울대점,18:00~00:00,"시급9,000",3시간전
경기 김포시, 노랑통닭 장기점,18:00~00:00,"시급9,000",3시간전
경기 시흥시, 노랑통닭 시흥 목감점,18:00~11:00,"시급10,000",3시간전
인천 미추홀, 노랑통닭 인천 주안점,16:00~02:30,"월급2,300,000",3시간전
경기 안양시, 노랑통닭 안양1번가점,16:00~02:00,"월급2,500,000",3시간전
서울 서초구, 노랑통닭 강남역점,18:00~23:00,"시급9,000",3시간전
서울 마포구, 노랑통닭 아현점,14:30~01:00,"월급2,600,000",3시간전
서울 마포구, 노랑통닭 아현점,14:30~01:00,"월급2,800,000",3시간전
경기 시흥시, 노랑통닭 시흥 목감점,18:00~11:00,"시급10,000",4시간전
광주 북구, 노랑통닭 광주 용봉점,18:00~21:00,"시급8,600",4시간전
