place,title,time,pay,date
광주 서구, 신세계 광주FS,09:50~21:00,"월급2,000,000",35분전
인천 부평구, 아이즈빌,10:40~22:00,"월급2,050,000",3시간전
경기 고양시, 고양스타필드,10:00~22:00,"월급2,050,000",3시간전
서울 영등포, 신세계 영등포,09:50~20:00,"월급1,950,000",5시간전
인천 연수구, 나이키,10:00~22:00,"월급2,050,000",5시간전
인천 연수구, 나이키,10:00~22:00,"월급2,050,000",6시간전
서울 영등포, 신세계 영등포,09:50~20:00,"월급1,950,000",13시간전
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,"월급2,050,000",16시간전
인천 부평구, 부평,10:40~22:00,"월급2,000,000",04/19
서울 중구, 신세계 명동,09:50~20:40,"월급1,950,000",04/19
대전 전체, 갤러리아타임월드 나이키,09:30~20:10,"월급1,950,000",04/19
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,"월급2,050,000",04/19
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",04/18
대전 전체, 갤러리아타임월드 나이키,09:30~20:10,"월급1,950,000",04/18
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,"월급2,050,000",04/17
서울 영등포, 타임스퀘어,11:00~18:00,"시급8,590",04/17
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",04/17
인천 부평구, 부평,10:40~22:00,"월급2,000,000",04/15
충남 천안시, 갤러리아 센터시티 나이키 (대연),10:30~20:00,"월급1,950,000",04/15
충남 천안시, 갤러리아 센터시티 나이키 (대연),10:30~20:00,"월급1,950,000",04/13
인천 연수구, 나이키,10:00~22:00,"월급2,050,000",04/11
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",04/11
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",04/10
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",04/10
경기 고양시, 고양스타필드,10:00~22:00,"월급2,050,000",04/08
