place,title,time,pay,date
부산 부산진, 생각대로 시청점,10:00~04:00,"시급20,000",3분전
부산 남구, 생각대로 대연5호점,08:00~03:00,"건별3,000",5분전
부산 남구, 생각대로 대연5호점,08:00~03:00,"건별3,000",5분전
부산 남구, 생각대로 대연5호점,08:00~03:00,"건별3,000",6분전
충남 천안시, 생각대로 신부지점,00:00~24:00,"건별3,200",6분전
광주 전체, 생각대로 동구금동점,10:30~04:00,"월급4,000,000",10분전
부산 사상구, 생각대로 사상구1호점,11:00~02:00,"건별3,000",14분전
광주 전체, 생각대로 동구금동점,10:30~04:00,"월급4,000,000",15분전
경기 안산시, 생각대로 안산고잔지사,10:00~03:00,"건별3,200",19분전
경기 수원시, 생각대로 수원지사,09:00~06:00,"주급1,500,000",21분전
경기 수원시, 생각대로 수원지사,09:00~06:00,"주급1,500,000",22분전
경기 광명시, 생각대로 광명지사,10:00~02:00,"건별3,300",28분전
서울 마포구, 생각대로 합정점,00:00~24:00,"월급3,500,000",28분전
서울 마포구, 생각대로 합정점,00:00~24:00,"월급3,500,000",31분전
경기 수원시, 생각대로 수원지사,09:00~06:00,"주급1,500,000",33분전
경기 안산시, 생각대로 안산선부지사,10:00~15:00,"건별3,300",39분전
부산 남구, 생각대로 문현점,10:00~24:00,"건별3,300",45분전
인천 미추홀, 생각대로 용현지사,10:00~02:00,"일급350,000",46분전
경기 광명시, 생각대로 광명지사,10:00~02:00,"건별3,300",49분전
인천 전체, 생각대로 송도서부지사,10:00~01:00,"월급5,000,000",1시간전
인천 전체, 생각대로 송도서부지사,10:00~01:00,"월급5,000,000",1시간전
인천 전체, 생각대로 송도서부지사,10:00~01:00,"월급5,000,000",1시간전
인천 전체, 생각대로 송도지사,09:00~01:00,"월급5,000,000",1시간전
인천 전체, 생각대로 송도지사,09:00~01:00,"월급5,000,000",1시간전
인천 전체, 생각대로 송도지사,09:00~01:00,"월급5,000,000",1시간전
충남 천안시, 생각대로 신부지점,00:00~24:00,"건별3,200",1시간전
대구 달서구, 생각대로 용산지점,10:30~24:00,"월급3,500,000",1시간전
대구 달서구, 생각대로 용산지점,10:30~24:00,"월급3,500,000",1시간전
경기 남양주, 생각대로 남양주2지점,10:00~01:00,"일급250,000",1시간전
경기 남양주, 생각대로 남양주2지점,10:00~01:00,"일급250,000",1시간전
경기 구리시, 생각대로 남양주2지점,10:00~01:00,"일급250,000",1시간전
부산 중구, 생각대로 중구1호점,10:00~02:00,"건별3,000",1시간전
대구 전체, 생각대로 중구런닝맨,11:00~04:00,"월급3,000,000",1시간전
부산 남구, 생각대로 용호점,10:00~02:00,"시급15,000",1시간전
부산 남구, 생각대로 용호점,10:00~02:00,"시급15,000",1시간전
부산 남구, 생각대로 용호점,10:00~02:00,"시급15,000",1시간전
부산 기장군, 생각대로 정관점,11:00~02:00,"건별3,000",2시간전
부산 기장군, 생각대로 정관2호점,11:00~03:00,"건별3,000",2시간전
부산 기장군, 생각대로 기장점,11:00~23:00,"건별3,000",2시간전
대구 달서구, 생각대로 용산지점,17:00~01:50,"월급2,500,000",2시간전
부산 금정구, 생각대로 안락명장점,10:00~24:00,"일급150,000",2시간전
경기 광명시, 생각대로 광명지사,10:00~02:00,"건별3,300",2시간전
부산 금정구, 생각대로 안락명장점,10:00~24:00,"일급150,000",2시간전
서울 서대문, 생각대로 연희점,11:00~03:00,"시급20,000",2시간전
부산 금정구, 생각대로 안락명장점,10:00~24:00,"일급150,000",2시간전
서울 서대문, 생각대로 홍제점,11:00~03:00,"시급20,000",2시간전
부산 북구, 생각대로 북구만덕점,09:00~03:00,"월급4,000,000",3시간전
부산 수영구, 생각대로 남구수영3호점,10:00~03:00,"건별3,500",3시간전
부산 수영구, 생각대로 남구수영3호점,10:00~03:00,"건별3,500",3시간전
서울 광진구, 생각대로 생각대로 광진화양2점,10:00~04:00,"일급200,000",3시간전
