place,title,time,pay,date
부산 해운대, 신세계백화점 센텀시티점,11:00~19:00,"시급8,700",3시간전
대구 전체, (주)신세계 동대구 복합환승센터,10:00~18:00,"시급8,700",3시간전
서울 중구, 신세계백화점 본점,10:00~18:00,"시급8,700",3시간전
서울 영등포, 신세계백화점 영등포점,10:30~18:30,"시급8,700",3시간전
부산 해운대, 신세계백화점 센텀시티점,11:00~19:00,"시급8,700",4시간전
부산 해운대, 신세계백화점 센텀시티점,11:00~19:00,"시급8,700",4시간전
부산 해운대, 신세계백화점 센텀시티점,10:00~19:00,"시급8,700",5시간전
광주 서구, 신세계백화점 광주점,11:00~19:00,"시급8,700",5시간전
서울 전체, 신세계백화점 강남점,10:00~20:00,"시급9,000",04/19
경기 용인시, 신세계 경기점,10:00~18:00,"시급8,700",04/18
서울 전체, 신세계백화점 강남점,09:30~20:00,"시급9,000",04/14
서울 전체, 신세계백화점 강남점,10:00~20:00,"시급9,000",04/14
경기 용인시, 신세계백화점 경기점,10:00~18:00,"시급8,700",04/14
서울 전체, 신세계백화점 강남점,09:30~20:00,"시급9,000",04/08
서울 전체, 신세계백화점 강남점,09:30~20:00,"시급9,000",04/08
