place,title,time,pay,date
경기 성남시, 현대백화점 판교점,09:30~19:00,"시급8,600",23분전
서울 강동구, 현대백화점 천호점,10:00~20:30,"시급8,600",2시간전
서울 강남구, 현대백화점 무역센터점,10:00~20:00,"시급8,600",04/19
경기 부천시, 현대백화점 중동점,13:00~18:00,"시급9,500",04/17
울산 동구, 현대백화점동구점,08:30~18:00,"월급2,667,000",04/15
서울 구로구, 현대백화점 디큐브시티,11:00~20:00,"건별20,000",04/14
서울 강남구, (주)현대백화점,08:30~18:00,"시급8,600",04/13
부산 동구, 주식회사 현대백화점 부산점,13:00~17:00,"시급8,600",04/11
서울 구로구, 현대백화점 디큐브시티,09:30~19:00,"시급8,600",04/11
대구 중구, 현대백화점,09:00~18:00,"시급8,600",04/11
서울 강남구, 현대백화점,09:30~18:30,"시급9,410",04/10
