place,title,time,pay,date
경북 경산시, CU 진량봉황로점,09:00~16:00,"시급8,590",3분전
경기 수원시, CU 수원하이플러스점,23:00~09:00,"시급8,590",3분전
경기 수원시, CU 수원서둔점,23:00~09:00,"시급8,590",4분전
경북 구미시, CU 구미삼도점,09:00~21:00,"일급76,000",4분전
대전 동구, CU 대전삼성타운점,23:00~08:00,"시급8,590",4분전
서울 중랑구, CU 망우사랑점,24:00~07:00,"시급8,590",4분전
경기 이천시, CU 서이천점,14:00~21:00,"시급8,600",5분전
경남 창원시, CU 마산호계국제점,15:00~22:00,"시급8,590",6분전
제주 제주시, CU 제주금능길점,17:00~01:00,"시급8,590",6분전
경기 고양시, CU 행신소만6단지점,15:00~22:00,"시급8,590",7분전
인천 연수구, CU 송도오네스타점,08:00~12:00,"시급8,590",7분전
인천 연수구, CU 송도오네스타점,08:00~12:00,"시급8,590",7분전
서울 광진구, CU 중곡중마점,22:00~08:00,"시급8,600",8분전
경기 수원시, CU 수원세종타운점,07:00~14:00,"시급8,590",8분전
경기 화성시, 동탄리코빌점,22:00~08:00,"시급8,590",8분전
부산 기장군, CU 기장가인점,22:00~08:00,"시급8,590",8분전
인천 계양구, CU 작전까치점,24:00~08:00,"시급8,590",10분전
경기 부천시, CU 부개은서점,22:00~08:00,"시급8,590",10분전
인천 부평구, CU 부개은서점,22:00~08:00,"시급8,590",11분전
대구 전체, CU 경성점,17:00~22:00,"시급8,590",12분전
충남 서산시, CU 서산골드클래스점,19:00~07:00,"시급8,600",12분전
서울 강남구, CU 삼성럭키점,22:00~08:00,"시급8,590",12분전
충북 청주시, Cu,12:00~14:00,"시급8,590",13분전
경기 군포시, CU 산본무궁화점,00:00~09:00,"시급8,590",13분전
인천 부평구, CU 부평사랑점,16:00~23:00,"시급8,590",14분전
경남 창원시, CU 신항부영13단지점,06:00~09:00,"시급8,590",19분전
전남 순천시, CU 순천조곡조은점,23:00~08:00,"시급8,590",20분전
경기 김포시, CU 고촌행복점,20:00~08:00,"시급8,590",20분전
부산 동구, CU 조방동일점,20:00~08:00,"시급8,700",21분전
경기 광명시, CU 광명역파크자이점,14:00~23:00,"시급8,590",22분전
서울 성동구, CU 하왕십리점,10:00~16:00,"시급8,590",24분전
서울 성동구, CU 하왕십리점,10:00~16:00,"시급8,590",24분전
대전 유성구, CU 유성전민점,18:00~24:00,"시급8,590",24분전
서울 성동구, CU 하왕십리점,10:00~16:00,"시급8,590",24분전
충남 천안시, CU 천안불당더샵점,08:00~17:00,"시급8,590",28분전
강원 강릉시, CU 강릉블루비치점,16:00~24:00,"시급8,600",28분전
부산 부산진, CU 부산진포돌이점,17:00~22:00,"시급8,590",29분전
충남 천안시, CU 천안성정완소점,22:00~08:00,"시급8,590",29분전
대전 중구, CU 대전유천점,23:00~08:00,"시급8,590",30분전
대전 중구, CU 대전유천점,23:00~08:00,"시급8,590",30분전
부산 사하구, CU 다대플러스점,15:00~23:00,"시급8,590",30분전
인천 연수구, CU 송도푸르지오시티점,07:00~14:00,"시급8,590",31분전
충남 서산시, CU 서산골드클래스점,19:00~07:00,"시급8,600",31분전
인천 연수구, CU 송도푸르지오시티점,07:00~14:00,"시급8,590",32분전
경북 구미시, CU 구평부영5단지점,14:00~19:00,"시급8,590",33분전
서울 서초구, CU 삼풍중앙점,13:00~21:00,"시급8,590",36분전
전남 여수시, CU 여수남양점,17:00~22:00,"시급8,590",37분전
경기 안산시, CU 안산일동점,22:00~08:00,"시급8,590",38분전
경기 성남시, CU 성남산성점,00:00~09:00,"시급8,590",39분전
경북 구미시, CU 구미상모청마루점,18:00~24:00,"시급8,590",44분전
