place,title,time,pay,date
경기 이천시, 이천터미널,09:00~22:30,"시급8,590",18분전
서울 서대문, 이대,09:30~24:00,"연봉24,500,000",19분전
서울 서대문, KFC 신촌역,09:30~23:00,"연봉24,500,000",23분전
경기 성남시, 정자역,18:00~24:00,"시급8,590",30분전
서울 마포구, 홍익대,10:00~18:00,"시급8,590",1시간전
서울 은평구, KFC 연신내역,18:00~00:00,"시급8,590",1시간전
경기 성남시, 서현역,16:00~24:00,"시급8,590",2시간전
서울 영등포, 여의도,09:00~17:00,"연봉24,500,000",4시간전
서울 전체, KFC 불광역,09:00~24:00,"연봉28,000,000",4시간전
서울 은평구, 응암역,09:00~24:00,"시급8,590",4시간전
서울 은평구, 응암역,09:00~18:00,"연봉24,500,000",4시간전
서울 관악구, 서울대입구역,12:00~24:50,"시급8,590",6시간전
충남 당진시, 청주메가폴리스,09:30~23:00,"시급8,590",04/19
경기 과천시, 서울대공원,09:00~18:00,"시급8,590",04/18
인천 전체, 부평역,17:00~24:00,"시급8,590",04/16
대구 달서구, 대구성서,12:00~24:00,"시급8,590",04/14
서울 중랑구, 사가정,08:00~03:00,"시급8,590",04/13
서울 서초구, KFC 강남역점,17:00~24:30,"시급8,590",04/13
서울 서초구, KFC 강남역점,17:00~23:00,"시급8,590",04/13
충남 당진시, 청주메가폴리스,09:30~23:00,"시급8,590",04/13
충남 당진시, 청주메가폴리스,09:30~23:00,"시급8,590",04/13
충남 당진시, 청주메가폴리스,09:30~23:00,"시급8,590",04/13
부산 기장군, 부산정관,15:00~19:00,"시급8,590",04/12
경기 성남시, 분당정자,09:30~23:00,"시급8,590",04/11
충남 당진시, 청주메가폴리스,09:30~23:00,"시급8,590",04/10
충남 당진시, KFC 본사,09:00~18:00,"시급8,590",04/10
대전 중구, 대전오류동,16:00~23:00,"시급8,590",04/09
인천 전체, 부평역,17:00~24:00,"시급8,590",04/09
경기 성남시, KFC 성남태평,09:00~24:00,"시급8,590",04/08
서울 서초구, 강남고속터미널,18:00~01:00,"시급8,590",04/08
대전 서구, 대전타임월드,16:00~24:00,"시급8,590",04/06
서울 영등포, 동여의도,09:30~22:30,"시급8,590",04/05
경기 과천시, 서울대공원,09:00~20:00,"시급8,590",04/05
