place,title,time,pay,date
충남 천안시, 대아주유소,14:00~22:00,"시급8,590",7시간전
대구 달성군, 늘푸른 주유소,09:00~19:00,"시급8,600",8시간전
서울 마포구, sk네트웍스(주)성산대교주유소,10:00~17:00,"시급8,590",10시간전
광주 북구, (주)광주화물터미널,13:00~20:00,"시급8,590",10시간전
부산 전체, 광신석유(주)대원주유소,08:30~18:30,"월급2,506,000",14시간전
부산 해운대, 돌고래주유소,08:30~18:30,"월급2,000,000",14시간전
경기 성남시, 한강에너지(주) SK셀프주유소,10:00~18:00,"월급1,980,000",15시간전
경기 성남시, 한강에너지(주) SK셀프주유소,10:00~18:00,"월급1,980,000",15시간전
경기 용인시, SK고속주유소,06:00~13:00,"시급8,600",17시간전
경기 화성시, 호성주유소,06:00~17:00,"월급2,200,000",17시간전
경기 파주시, 신화문산주유소,08:00~14:00,"시급8,590",04/19
경기 수원시, 삼성단지주유소,12:00~23:00,"시급8,590",04/18
경기 성남시, 한강에너지(주) SK셀프주유소,10:00~18:00,"월급1,980,000",04/17
경기 성남시, 한강에너지(주) SK셀프주유소,10:00~18:00,"월급1,980,000",04/17
서울 강서구, 강서해바라기주유소,13:00~24:00,"시급8,590",04/17
서울 강서구, 강서해바라기주유소,13:00~24:00,"시급8,590",04/17
서울 서초구, 대신석유(주)대우주유소,18:00~24:00,"월급2,400,000",04/17
부산 동구, 동방석유(주),08:00~19:00,"연봉32,000,000",04/17
서울 서대문, 행촌제2주유소,08:00~22:00,"시급9,300",04/17
서울 성동구, 군자동주유소,09:00~18:00,"시급8,590",04/17
경기 파주시, 신화문산주유소,12:00~18:00,"시급8,590",04/16
전북 익산시, SK에너지 익산)행복주유소,08:00~13:00,"시급8,590",04/16
경기 수원시, 삼성단지주유소,12:00~23:00,"시급8,590",04/16
광주 남구, sk 월드컵주유소,13:00~19:00,"시급8,590",04/16
광주 남구, sk 월드컵주유소,08:00~14:00,"시급8,590",04/16
경기 고양시, SK에너지 자유제일주유소,14:00~22:00,"시급8,590",04/15
경기 고양시, SK에너지 자유제일주유소,14:00~22:00,"시급8,590",04/15
경북 포항시, SK강변주유소,08:00~16:00,"시급8,590",04/15
경기 남양주, SK화도주유소,09:00~19:00,"시급8,590",04/15
서울 마포구, 안국주유소,07:00~15:00,"시급8,590",04/15
대구 수성구, 한국광유(주)남부주유소,06:00~12:00,"시급8,590",04/14
충남 천안시, SK글로벌주유소,15:00~24:00,"시급8,590",04/14
충남 천안시, SK글로벌주유소,10:00~18:00,"일급8,590",04/14
부산 전체, 광신석유(주)대원주유소,08:30~18:00,"월급2,506,000",04/13
경기 수원시, 삼성단지주유소,12:00~23:00,"시급8,590",04/13
경기 광주시, 서민행복주유소,10:00~18:00,"시급8,590",04/13
경기 파주시, 신화문산주유소,14:00~20:00,"시급8,590",04/12
경기 용인시, 언남신도시주유소,08:00~18:00,"시급8,700",04/12
제주 서귀포, 한진주유소,13:00~21:00,"월급2,200,000",04/11
서울 양천구, SK에너지 신목동주유소,10:00~18:00,"시급9,000",04/10
경기 파주시, 신화문산주유소,08:00~14:00,"시급8,590",04/10
충남 당진시, 한길에너지(주),09:00~18:00,"월급1,700,000",04/10
인천 중구, 한국3주유소,10:00~18:00,"시급8,700",04/09
인천 중구, 한국3주유소,10:00~18:00,"월급1,600,000",04/09
부산 전체, 신영주유소,08:00~18:00,"월급1,900,000",04/09
전북 익산시, SK에너지 익산)행복주유소,08:00~13:00,"시급8,590",04/08
경북 경산시, SK에너지 와촌IC주유소,08:00~19:00,"시급8,590",04/08
경기 파주시, 신화문산주유소,12:00~18:00,"시급8,590",04/08
경기 의왕시, 에이치지에너지(주)대원주유소 self,05:00~15:00,"월급2,250,000",04/07
경기 의왕시, 에이치지에너지(주)대원주유소 self,05:00~15:00,"월급2,250,000",04/07
