place,title,time,pay,date
광주 북구, 교촌치킨 광주 운암2호,18:00~24:00,"시급10,000",4분전
광주 북구, 교촌치킨 광주 운암2호,18:00~24:00,"시급10,000",5분전
경북 경주시, 교촌치킨 용강,18:00~23:00,"시급8,590",7분전
경기 김포시, 교촌치킨 김포 통진1호,18:00~24:00,"시급10,000",11분전
경기 파주시, 교촌치킨 파주 가람마을,17:00~24:30,"시급8,590",12분전
부산 금정구, 교촌치킨 부산대,21:00~01:00,"시급8,600",14분전
서울 관악구, 교촌치킨 신림1호점,18:00~23:00,"시급10,000",20분전
인천 서구, 교촌치킨 인천 청라,18:00~02:00,"시급11,000",23분전
서울 도봉구, 교촌치킨 서울 창3동,12:00~18:00,"시급8,600",25분전
대전 서구, 교촌치킨 도안2호,18:00~22:00,"시급8,590",26분전
경기 부천시, 교촌치킨 부천 중동꿈마을,18:00~24:00,"시급11,000",29분전
서울 강남구, 교촌치킨 도곡,17:00~02:30,"월급2,100,000",30분전
대전 대덕구, 교촌치킨 대전 송촌1호,18:00~23:30,"시급10,000",34분전
대구 북구, 교촌치킨 칠성고성,15:00~24:00,"월급2,200,000",36분전
대구 북구, 교촌치킨 칠성고성,18:00~24:00,"시급9,000",37분전
인천 계양구, 교촌치킨 인천 효성2호,18:00~24:00,"시급9,000",38분전
인천 계양구, 교촌치킨 인천 효성2호,18:00~24:00,"시급9,000",38분전
경기 김포시, 교촌치킨 김포 장기1호,12:00~24:00,"시급14,000",40분전
경기 김포시, 교촌치킨 김포 장기1호,12:00~24:00,"시급14,000",40분전
경기 광명시, 교촌치킨 광명 소하1호,17:30~23:30,"시급11,500",42분전
대구 동구, 교촌치킨 대구 동구청,17:00~22:00,"시급8,590",44분전
충북 제천시, 교촌치킨 청전,17:00~01:00,"시급8,590",44분전
대구 동구, 교촌치킨 대구 동구청,12:00~17:00,"시급8,590",44분전
대구 동구, 교촌치킨 대구 동구청,17:00~22:00,"시급8,590",45분전
대구 동구, 교촌치킨 대구 동구청,12:00~17:00,"시급8,590",46분전
경남 양산시, 교촌치킨 평산,18:00~24:00,"시급8,600",47분전
경기 의정부, 교촌치킨 민락,18:00~24:00,"시급8,600",59분전
서울 강서구, 교촌치킨 서울 화곡2호,18:00~01:00,"시급10,000",1시간전
전북 전주시, 교촌치킨 전주 서신,18:00~00:00,"시급8,590",1시간전
경기 고양시, 교촌치킨 일산 호수,17:00~24:00,"시급11,000",1시간전
서울 강서구, 교촌치킨 서울 화곡1호,17:00~24:00,"시급10,000",1시간전
경기 안양시, 교촌치킨 안양 호계1호,12:00~24:00,"월급2,800,000",1시간전
서울 양천구, 교촌치킨 서울 화곡1호,17:00~24:00,"시급10,000",1시간전
서울 양천구, 교촌치킨 서울 화곡1호,18:00~23:00,"시급9,000",1시간전
서울 강서구, 교촌치킨 서울 화곡1호,18:00~23:00,"시급9,000",1시간전
경남 창원시, 교촌치킨 중동소답점,18:00~23:00,"시급8,600",1시간전
서울 강동구, 교촌치킨 암사2호,11:50~24:20,"월급2,700,000",2시간전
인천 서구, 교촌치킨 불로원당점,17:00~24:00,"시급10,000",2시간전
인천 미추홀, 교촌치킨 주안2호점,16:00~01:00,"월급2,000,000",2시간전
인천 미추홀, 교촌치킨 주안2호점,16:00~01:00,"월급2,000,000",2시간전
서울 관악구, 교촌치킨 서울 신림2호,18:00~24:00,"시급10,000",2시간전
경기 수원시, 교촌치킨 인계점,18:00~24:00,"시급8,590",2시간전
서울 전체, 교촌치킨 서울 신림2호,12:00~24:00,"월급3,200,000",2시간전
전북 익산시, 교촌치킨 동산,18:00~24:00,"시급10,000",2시간전
강원 춘천시, 교촌치킨 춘천시청,17:30~23:00,"시급10,000",2시간전
서울 관악구, 교촌치킨 서울 봉천4호,18:00~01:00,"시급10,500",2시간전
충남 보령시, 교촌치킨 보령 동대,17:00~24:00,"시급10,000",2시간전
경기 성남시, 교촌치킨 성남위례,12:00~24:00,"시급9,000",2시간전
경기 안양시, 교촌치킨 중앙,17:00~24:00,"시급11,000",2시간전
경기 안양시, 교촌치킨 중앙,17:00~24:00,"시급11,000",2시간전
