place,title,time,pay,date
경기 용인시, 깐부치킨 성복,14:00~01:00,"월급2,400,000",1시간전
서울 전체, 깐부치킨 광화문점,18:00~02:00,"월급2,200,000",1시간전
서울 전체, 깐부치킨 광화문점,18:00~02:00,"월급2,200,000",1시간전
서울 전체, 깐부치킨 광화문점,18:00~02:00,"월급2,200,000",1시간전
서울 영등포, 깐부치킨 동여의도점,18:00~24:00,"시급8,590",2시간전
서울 용산구, 깐부치킨 용산점,18:00~01:00,"시급9,000",2시간전
서울 강남구, 깐부치킨 개포점,16:00~01:30,"월급2,300,000",3시간전
경기 안산시, 깐부치킨 안산신길지구점,13:00~00:00,"월급1,500,000",6시간전
서울 용산구, 깐부치킨 후암점,18:00~01:00,"시급8,590",7시간전
경기 용인시, 깐부치킨 수지구청점,19:00~02:00,"시급8,590",9시간전
경기 용인시, 깐부치킨 수지구청점,19:00~02:00,"시급8,590",9시간전
경기 안산시, 깐부치킨 안산신길지구점,18:00~22:00,"월급2,000,000",15시간전
경기 이천시, 깐부치킨 이천하이닉스점,18:00~01:00,"시급8,590",04/18
서울 성동구, 깐부치킨 금호점,18:00~01:00,"시급9,000",04/17
서울 강서구, 깐부치킨 마곡중앙점,15:00~24:00,"시급10,000",04/17
서울 강서구, 깐부치킨 증미역점,18:00~00:30,"시급10,000",04/17
서울 강남구, 깐부치킨 개포점,15:30~01:30,"월급2,300,000",04/14
서울 중구, 깐부치킨 을지트윈타워점,15:00~01:00,"월급2,400,000",04/12
서울 강남구, 깐부치킨 역삼역점,15:00~01:00,"월급2,500,000",04/11
서울 강남구, 깐부치킨 역삼역점,15:00~01:00,"월급2,500,000",04/08
서울 서초구, 깐부치킨 구반포,15:00~01:00,"월급2,300,000",04/08
서울 강남구, 깐부치킨 역삼역점,15:00~01:00,"월급2,500,000",04/05
서울 서초구, 깐부치킨 구반포,15:00~01:00,"월급2,300,000",04/04
