place,title,time,pay,date
인천 부평구, 날라가 인천부평구점,10:00~03:00,"월급5,000,000",26분전
대구 수성구, 날라가 대구수성점,10:00~24:00,"일급150,000",1시간전
대구 수성구, 날라가 대구수성점,11:00~24:00,"일급150,000",1시간전
대구 수성구, 날라가 대구수성구지산점,11:00~02:00,"일급150,000",2시간전
경기 부천시, 날라가 경기부천총괄본부,11:00~02:00,"일급150,000",4시간전
세종 전체, 날라가 세종시점,09:00~02:00,"일급200,000",04/19
세종 전체, 날라가 세종시점,09:00~02:00,"일급200,000",04/19
충남 논산시, 날라가 충남논산시점,11:00~23:00,"건별3,000",04/19
경기 화성시, 날라가 경기화성점,10:00~04:00,"월급5,000,000",04/18
세종 전체, 날라가 세종시점,09:00~02:00,"일급200,000",04/18
충남 논산시, 날라가 충남논산시점,11:00~23:00,"건별3,000",04/17
경기 안산시, 날라가 경기안산점,10:00~02:00,"건별3,000",04/13
충남 보령시, 날라가 충남보령점,11:00~24:00,"시급15,000",04/12
부산 기장군, 날라가 부산정관점,09:00~02:00,"건별3,000",04/11
충남 논산시, 날라가 충남논산시점,11:00~23:00,"건별3,000",04/07
경남 김해시, 날라가 경남김해시동상동점,11:00~23:00,"시급12,000",04/05
경남 김해시, 날라가 경남김해시동상동점,11:00~23:00,"시급12,000",04/04
