place,title,time,pay,date
경기 파주시, 노브랜드 파주아울렛점,08:00~21:30,"시급9,700",2시간전
경기 남양주, 노브랜드 남양주 진접점,11:00~22:00,"시급9,700",2시간전
경기 평택시, 노브랜드 평택중앙로점,10:30~22:30,"시급9,700",2시간전
경기 용인시, 노브랜드NO-BRAND 용인삼가점,09:00~17:00,"시급9,700",3시간전
서울 노원구, (주)이마트,09:00~22:30,"시급9,700",3시간전
경남 거제시, (주)이마트,09:00~22:00,"시급9,700",4시간전
경기 평택시, (주)이마트,11:00~22:00,"시급9,410",4시간전
경기 남양주, (주)이마트,11:00~22:30,"시급9,700",4시간전
경기 전체, (주)이마트,11:00~22:30,"시급9,700",8시간전
경기 평택시, 노브랜드 평택비전2호점,10:30~22:00,"시급9,700",8시간전
경기 남양주, (주)이마트 노브랜드,09:00~22:00,"시급9,700",13시간전
서울 동대문, 노브랜드 서울경동시장점,12:00~20:00,"시급9,700",04/19
경기 성남시, 노브랜드 판교운중점,09:00~22:00,"시급9,700",04/19
경기 성남시, 노브랜드 판교운중점,09:00~22:00,"시급9,700",04/19
서울 동대문, 노브랜드 서울경동시장점,12:00~20:00,"시급9,700",04/18
경기 화성시, 노브랜드 화성능동점,10:30~22:30,"시급9,700",04/15
경기 화성시, (주)이마트,09:30~22:00,"시급9,700",04/15
경기 하남시, (주)이마트,11:00~19:00,"시급9,700",04/15
경기 용인시, (주)이마트,09:00~17:00,"시급9,700",04/15
경기 양주시, 노브랜드양주광사점,11:00~22:00,"시급9,700",04/15
경기 오산시, 노브랜드 오산수청점,10:30~22:00,"시급9,700",04/13
서울 동대문, (주)이마트,08:00~22:00,"시급9,700",04/13
경남 양산시, (주)이마트 노브랜드 양산물금2점,09:00~22:30,"시급9,700",04/12
경기 의정부, 노브랜드 녹양점,09:30~22:30,"시급9,700",04/12
경기 남양주, (주)이마트,11:00~22:30,"시급9,700",04/08
대전 서구, (주)이마트(노브랜드 대전가수원점),09:00~22:30,"시급9,700",04/08
경기 하남시, (주)이마트,11:00~22:30,"시급9,700",04/08
경기 고양시, 노브랜드 고양 행신점,08:00~22:00,"시급9,700",04/08
경기 오산시, 노브랜드 오산수청점,10:30~22:00,"시급9,700",04/07
경북 문경시, (주)이마트,10:00~22:00,"시급9,700",04/07
경기 고양시, 노브랜드 고양 행신점,08:00~22:00,"시급9,700",04/07
대전 전체, (주)이마트,00:00~24:00,"시급9,700",04/06
경기 성남시, (주)이마트,09:00~22:30,"시급9,700",04/04
경기 성남시, (주)이마트,09:00~22:30,"시급9,700",04/04
경기 용인시, (주)이마트,09:00~17:00,"시급9,700",04/04
