place,title,time,pay,date
경남 창원시, 롯데리아 창원팔용점,18:30~22:30,"시급8,590",2분전
서울 강남구, 롯데리아 학동역점,16:00~22:00,"시급8,590",8분전
서울 강남구, 롯데리아 학동역점,16:00~22:00,"시급8,590",8분전
서울 강남구, 롯데리아 학동역점,16:00~22:00,"시급8,590",9분전
대구 달성군, 롯데리아 현풍테크노폴리스점,16:00~22:00,"시급8,590",25분전
대구 달성군, 롯데리아 현풍테크노폴리스점,16:00~22:00,"시급8,590",25분전
전남 여수시, 롯데리아 여수웅천지구점,09:00~22:00,"시급8,590",29분전
서울 동작구, 롯데리아 이수역점,09:00~18:00,"월급2,600,000",44분전
서울 동작구, 롯데리아 이수역점,09:00~18:00,"월급2,600,000",44분전
경기 수원시, 롯데리아 수원권선점,09:00~18:00,"시급10,000",51분전
경기 수원시, 롯데리아 수원권선점,08:00~23:00,"월급2,000,000",51분전
경기 수원시, 롯데리아 수원권선점,08:00~23:00,"월급2,000,000",51분전
경기 수원시, 롯데리아 수원권선점,09:00~18:00,"시급8,590",51분전
경기 수원시, 롯데리아 수원권선점,08:00~23:00,"월급2,000,000",51분전
충남 천안시, 롯데리아 천안쌍용점,17:00~22:00,"시급8,590",1시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"시급8,590",2시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"시급8,590",2시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"시급8,590",2시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"시급8,590",2시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"시급8,590",2시간전
경기 안양시, 롯데리아 안양점,00:00~08:00,"시급8,590",2시간전
서울 도봉구, 롯데리아 방학점,16:00~22:30,"시급8,590",2시간전
경기 안양시, 롯데리아 안양점,00:00~08:00,"시급8,590",2시간전
경기 평택시, 롯데리아 평택진위DT점,15:00~23:00,"월급1,800,000",2시간전
경기 오산시, 롯데리아 평택진위DT점,15:00~23:00,"월급1,800,000",2시간전
인천 서구, 롯데리아 인천당하점,18:00~22:30,"시급8,590",3시간전
인천 서구, 롯데리아 인천당하점,18:00~22:30,"시급8,590",3시간전
인천 서구, 롯데리아 인천당하점,18:00~22:30,"시급8,590",3시간전
경기 수원시, 롯데리아 동수원점,18:00~24:00,"시급12,855",3시간전
경기 수원시, 롯데리아 동수원점,09:00~03:00,"월급2,400,000",3시간전
경기 화성시, 롯데리아 화성화산D/T점,10:00~16:00,"시급8,590",3시간전
인천 강화군, 롯데리아 인천강화점,17:00~22:00,"시급8,590",3시간전
서울 용산구, 롯데리아 숙대입구역점,01:00~00:00,"시급8,590",3시간전
서울 용산구, 롯데리아 숙대입구역점,01:00~00:00,"시급8,590",3시간전
서울 용산구, 롯데리아 숙대입구역점,01:00~00:00,"시급8,590",3시간전
서울 용산구, 롯데리아 숙대입구역점,01:00~00:00,"시급8,590",3시간전
서울 용산구, 롯데리아 숙대입구역점,01:00~00:00,"시급8,590",3시간전
경기 양주시, 롯데리아 양주옥정점,17:00~22:00,"시급8,590",3시간전
경기 양주시, 롯데리아 양주옥정점,09:00~22:00,"월급2,300,000",3시간전
경기 구리시, 롯데리아 구리갈매점,19:00~22:30,"시급8,590",3시간전
경기 고양시, 롯데리아 롯데마트고양점,16:00~22:00,"시급8,590",3시간전
부산 중구, 롯데리아 부산비프광장점,01:00~10:00,"시급8,590",3시간전
부산 중구, 롯데리아 부산비프광장점,01:00~10:00,"시급8,590",3시간전
부산 중구, 롯데리아 부산비프광장점,01:00~10:00,"시급8,590",3시간전
부산 중구, 롯데리아 부산비프광장점,01:00~10:00,"시급8,590",4시간전
부산 중구, 롯데리아 부산비프광장점,01:00~10:00,"시급8,590",4시간전
경기 성남시, 롯데리아 성남도촌점,11:00~19:00,"시급8,590",4시간전
인천 서구, 롯데리아 인천가좌점,18:00~00:00,"시급10,000",4시간전
인천 서구, 롯데리아 인천가좌점,18:00~00:00,"시급8,590",4시간전
인천 서구, 롯데리아 인천가좌점,18:00~00:00,"시급8,590",4시간전
