place,title,time,pay,date
서울 강남구, 매머드커피 선정릉,12:00~14:50,"시급8,590",6시간전
서울 서초구, 매머드커피 양재시민의 숲,07:30~14:00,"시급10,310",7시간전
서울 동작구, 매머드커피 상도역점,18:00~22:00,"시급8,590",04/19
서울 강남구, 매머드커피 역삼역점,14:30~17:00,"시급8,590",04/18
경기 성남시, 매머드커피 판교,09:30~13:30,"시급10,400",04/17
서울 구로구, 매머드커피 구로디지털중앙,15:30~19:30,"시급8,590",04/12
서울 종로구, 매머드커피 효제동,08:00~17:00,"시급10,310",04/11
서울 종로구, 매머드커피 종로5가,08:00~17:00,"시급10,310",04/11
전국 전체, 매머드커피 강남역,08:30~13:30,"시급8,590",04/09
서울 종로구, 매머드커피 종로5가,08:00~17:00,"시급10,310",04/05
서울 종로구, 매머드커피 효제동,08:00~17:00,"시급10,310",04/05
서울 종로구, 매머드커피 효제동,08:00~17:00,"시급10,310",04/04
서울 종로구, 매머드커피 종로5가,08:00~17:00,"시급10,310",04/04
