place,title,time,pay,date
경기 화성시, 멕시카나 동탄점,17:00~23:00,"시급10,000",13분전
충북 청주시, 멕시카나 옥산점(중부),18:00~23:00,"시급8,590",19분전
서울 관악구, 멕시카나 신림점,17:00~05:00,"월급3,200,000",28분전
서울 관악구, 멕시카나 신림점,17:00~05:00,"월급3,200,000",28분전
인천 남동구, 멕시카나 구월로데오점(인남),18:00~24:00,"시급10,000",3시간전
경남 사천시, 멕시카나 사남점,17:30~20:30,"시급8,590",16시간전
서울 관악구, 멕시카나 신림점,19:00~07:00,"주급750,000",04/18
경북 구미시, 멕시카나 문성점(영남),16:00~24:00,"시급8,590",04/18
경북 구미시, 멕시카나 문성점(영남),16:00~24:00,"시급8,590",04/18
서울 관악구, 멕시카나 신림점,17:00~05:00,"주급750,000",04/17
인천 계양구, 멕시카나 서해,17:00~24:00,"시급10,000",04/17
인천 계양구, 멕시카나 서해,17:00~24:00,"시급10,000",04/17
서울 관악구, 멕시카나 신림점,17:00~05:00,"주급750,000",04/13
경기 시흥시, 멕시카나 배곧해피점,18:00~23:00,"시급8,590",04/11
인천 계양구, 멕시카나 서해,18:00~22:00,"시급10,000",04/10
인천 계양구, 멕시카나 서해,18:00~22:00,"시급10,000",04/09
서울 서초구, 멕시카나 신논현역점,17:00~23:00,"시급9,000",04/07
전북 군산시, 멕시카나 나운2지곡점,17:00~00:00,"시급9,000",04/06
경기 안성시, 멕시카나 안성공도점,18:00~23:00,"시급9,000",04/04
