place,title,time,pay,date
강원 원주시, 더본코리아 한신포차 충주신연수점,05:30~05:30,"월급2,300,000",2분전
대전 중구, 한신포차 대전대흥점,21:00~04:00,"시급8,590",2분전
경기 남양주, 더본코리아 홍콩반점0410 남양주별내,10:00~21:30,"월급2,400,000",4분전
부산 부산진, 롤링파스타 부산서면점,10:00~22:00,"월급2,400,000",6분전
부산 해운대, 더본코리아 홍콩반점0410 센텀인텔리,17:00~21:30,"시급8,590",6분전
인천 남동구, 더본코리아 역전우동0410 인천논현역,10:00~14:00,"시급8,590",8분전
충북 청주시, 롤링파스타 청주성안로점,17:00~21:30,"시급8,600",13분전
경기 수원시, 더본코리아 홍콩반점0410 수원장안구,10:30~22:00,"월급2,640,000",18분전
인천 남동구, 더본코리아 롤링파스타 인천구월점,12:00~20:00,"시급8,590",19분전
경기 용인시, 더본코리아 홍콩반점0410 수지구청점,10:00~21:00,"월급2,470,000",26분전
서울 광진구, 더본코리아 리춘시장 건대지점,18:00~03:00,"월급2,805,860",35분전
인천 연수구, 더본코리아 홍콩반점0410 인천송도점,10:00~21:00,"월급1,900,000",42분전
경남 창원시, 홍콩반점0410 창원메트로시티점,10:30~16:00,"시급8,590",44분전
경남 창원시, 홍콩반점0410 창원메트로시티점,10:30~15:30,"시급8,590",44분전
경남 창원시, 홍콩반점0410 창원메트로시티점,10:30~22:00,"월급2,600,000",45분전
부산 연제구, 더본코리아 홍콩반점0410 부산연산동,09:30~21:20,"월급2,050,000",46분전
부산 해운대, 더본코리아 홍콩반점0410 해운대역점,11:00~22:00,"월급2,200,000",50분전
서울 강서구, 더본코리아 홍콩반점0410 까치산역점,10:30~22:30,"월급2,600,000",51분전
부산 연제구, 더본코리아 홍콩반점0410 부산연산동,09:30~21:20,"월급2,050,000",51분전
대구 수성구, 새마을식당 대구범어점,01:00~00:00,"월급2,200,000",51분전
서울 광진구, 더본코리아 홍콩반점0410 건대입구역,11:00~23:00,"월급2,800,000",55분전
인천 부평구, 더본코리아 한신포차 인천삼산점,16:30~05:30,"시급8,590",55분전
부산 연제구, 더본코리아 홍콩반점0410 부산연산동,09:30~21:20,"월급2,350,000",56분전
대전 유성구, 더본코리아 역전우동0410 충남대점,16:00~22:00,"월급1,300,000",57분전
강원 원주시, 더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급2,450,000",59분전
경기 오산시, 더본코리아 역전우동0410 오산역점,10:00~22:30,"월급1,850,000",1시간전
경기 오산시, 더본코리아 역전우동0410 오산역점,10:00~22:30,"월급1,850,000",1시간전
경기 오산시, 더본코리아 역전우동0410 오산역점,10:00~22:30,"월급1,850,000",1시간전
경기 오산시, 더본코리아 역전우동0410 오산역점,10:00~22:30,"월급1,850,000",1시간전
부산 연제구, 더본코리아 홍콩반점0410 부산연산동,09:30~21:20,"월급2,550,000",1시간전
인천 부평구, 더본코리아 한신포차 인천삼산점,16:30~05:30,"시급8,590",1시간전
서울 서초구, 더본코리아 원조쌈밥집 양재지점,10:00~22:00,"월급2,350,000",1시간전
경기 김포시, 더본코리아 역전우동0410 김포구래점,10:00~22:00,"월급2,600,000",1시간전
광주 광산구, 더본코리아 한신포차 광주상무점,10:00~20:00,"월급2,300,000",1시간전
서울 용산구, 더본코리아 홍콩반점0410 문배지점,10:30~20:30,"월급2,400,000",1시간전
인천 서구, 더본코리아 홍콩반점0410 인천청라점,10:30~22:30,"월급2,000,000",1시간전
대구 중구, 역전우동0410 대구반월당역점,17:00~22:00,"시급8,600",1시간전
충남 아산시, 새마을식당 아산신용화점,18:30~22:00,"시급8,590",1시간전
인천 서구, 더본코리아 홍콩반점0410 인천청라점,11:00~21:00,"시급8,590",1시간전
경기 시흥시, 홍콩반점0410 시흥배곧신도시점,10:30~22:30,"월급2,500,000",1시간전
인천 부평구, 더본코리아 롤링파스타 부평로데오점,17:00~22:00,"시급8,590",1시간전
강원 원주시, 더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급2,450,000",1시간전
경남 창원시, 더본코리아 홍콩반점0410 창원어반브,11:00~21:00,"시급8,590",1시간전
경기 광명시, 더본코리아 홍콩반점0410 광명철산점,10:30~22:30,"월급2,600,000",1시간전
부산 북구, 미정국수0410 부산화명역점,18:00~23:00,"시급8,590",2시간전
부산 기장군, 더본코리아 본가 정관신도시점,10:30~10:00,"월급2,000,000",2시간전
경남 김해시, 더본코리아 홍콩반점0410 김해내동,09:30~21:30,"월급2,800,000",2시간전
강원 춘천시, 더본코리아 역전우동0410 춘천석사점,12:00~22:00,"시급9,000",2시간전
경기 오산시, 더본코리아 한신포차 오산궐동점,19:00~24:00,"시급9,000",2시간전
인천 연수구, 더본코리아 홍콩반점0410 인천송도점,11:00~22:00,"월급2,500,000",2시간전
