place,title,time,pay,date
경기 수원시, 버거킹 수원호매실SK점,18:00~02:00,"시급8,590",1분전
인천 연수구, 버거킹 인천송도SK점,18:00~02:00,"시급8,590",2분전
서울 강남구, 버거킹 수서점,00:00~24:00,"시급8,590",3분전
서울 강남구, 버거킹 수서점,00:00~24:00,"시급8,590",3분전
경기 이천시, 이천CGV점,18:00~24:00,"시급8,590",5분전
경북 안동시, 버거킹 경북도청점(S),09:00~23:00,"시급8,590",8분전
경북 예천군, 버거킹 경북도청점(S),09:00~23:00,"시급8,590",8분전
경북 안동시, 버거킹 경북도청점(S),09:00~23:00,"월급2,000,000",9분전
경북 예천군, 버거킹 경북도청점(S),09:00~23:00,"월급2,000,000",9분전
경북 안동시, 버거킹 경북도청점(S),09:00~23:00,"시급8,590",12분전
경북 예천군, 버거킹 경북도청점(S),09:00~23:00,"시급8,590",12분전
경북 안동시, 버거킹 경북도청점(S),09:00~23:00,"월급2,000,000",13분전
경북 예천군, 버거킹 경북도청점(S),09:00~23:00,"월급2,000,000",14분전
서울 강남구, 버거킹 강남대로점,09:00~24:00,"시급8,590",23분전
충북 청주시, 버거킹 오창호수공원점,16:00~23:00,"시급8,590",33분전
대구 달성군, 대구테크노폴리스점,16:00~23:00,"시급8,590",39분전
인천 연수구, 버거킹 인천송도SK점,18:00~02:00,"시급8,590",39분전
경기 화성시, 동탄점,08:00~24:00,"시급8,590",44분전
경기 평택시, 평택비전점(S),17:00~23:00,"시급8,590",59분전
경기 이천시, 이천CGV점,18:00~24:00,"시급8,590",59분전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"시급8,590",1시간전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"시급8,590",1시간전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"시급8,590",1시간전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"시급8,590",1시간전
대구 동구, 버거킹 대구이시아폴리스점(S),15:00~20:00,"시급8,590",1시간전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"시급8,590",1시간전
경북 포항시, 버거킹 포항버스터미널점,07:00~13:00,"시급8,590",1시간전
경기 시흥시, 버거킹 배곧아브뉴프랑점,08:00~13:00,"시급8,590",1시간전
경남 김해시, 버거킹 동김해DT점,08:00~24:00,"시급8,590",1시간전
경기 의정부, 버거킹 의정부용현FS점,10:00~22:00,"시급8,590",1시간전
충북 청주시, 버거킹 오창호수공원점,16:00~23:00,"시급8,590",1시간전
서울 양천구, 버거킹 목동현대점,09:00~22:00,"시급8,590",1시간전
서울 구로구, 버거킹 구로디지털점,17:00~23:00,"시급8,590",1시간전
서울 양천구, 버거킹 목동현대점,09:00~22:00,"시급8,590",1시간전
서울 양천구, 버거킹 목동현대점,09:00~22:00,"시급8,590",1시간전
서울 양천구, 버거킹 목동현대점,09:00~22:00,"시급8,590",1시간전
서울 양천구, 버거킹 목동현대점,09:00~22:00,"시급8,590",1시간전
충북 청주시, 버거킹 청주오송점(S),11:00~15:00,"시급8,590",2시간전
서울 송파구, 버거킹 종합운동장사거리점,08:00~01:00,"시급8,590",2시간전
경북 예천군, 버거킹 경북도청점(S),09:00~23:00,"월급2,000,000",2시간전
경북 안동시, 버거킹 경북도청점(S),09:00~23:00,"월급2,000,000",2시간전
경북 예천군, 버거킹 경북도청점(S),09:00~23:00,"시급8,590",2시간전
경북 안동시, 버거킹 경북도청점(S),09:00~23:00,"시급8,590",2시간전
경기 이천시, 이천CGV점,18:00~24:00,"시급8,590",2시간전
경기 이천시, 이천CGV점,18:00~24:00,"시급8,590",2시간전
대전 전체, 버거킹 대전용두DT점,24:00~00:00,"시급8,590",2시간전
대전 전체, 버거킹 대전용두DT점,24:00~00:00,"시급8,590",2시간전
대전 전체, 버거킹 대전용두DT점,24:00~00:00,"시급8,590",2시간전
대전 전체, 버거킹 대전용두DT점,24:00~00:00,"시급8,590",2시간전
대전 전체, 버거킹 대전용두DT점,24:00~00:00,"시급8,590",2시간전
