place,title,time,pay,date
경기 여주시, (주)캘리스코 히바린 여주첼시점,17:00~21:00,"시급8,590",17분전
서울 영등포, 사보텐여의도메리츠점,11:30~02:30,"시급8,700",4시간전
경기 여주시, (주)캘리스코 히바린 여주첼시점,17:00~21:00,"시급8,590",6시간전
서울 영등포, 사보텐여의도메리츠점,10:00~02:30,"시급8,590",8시간전
경기 여주시, (주)캘리스코 히바린 여주첼시점,17:00~21:00,"시급8,590",15시간전
서울 용산구, 히바린 이태원점,06:00~11:00,"시급8,590",04/13
서울 영등포, 사보텐 경방타임스퀘어점,17:00~22:00,"시급8,590",04/10
서울 용산구, 히바린 이태원점,06:00~11:00,"시급8,590",04/05
서울 용산구, 히바린 이태원점,06:00~11:00,"시급8,590",04/04
경남 창원시, 사보텐 롯데창원점,10:00~16:00,"시급8,590",04/04
