place,title,time,pay,date
°æ±â ¾È¾ç½Ã, ½´Ææ ÆòÃÌÁ¡,13:00~22:00,"¿ù±Þ1,900,000",2½Ã°£Àü
°æ±â ºÎÃµ½Ã, ½´Ææ °­¼­Á¡,09:00~18:00,"¿ù±Þ1,900,000",3½Ã°£Àü
°æ±â °í¾ç½Ã, ½´Ææ ÀÏ»êÁ¡,13:00~22:00,"¿ù±Þ1,900,000",3½Ã°£Àü
ºÎ»ê ºÎ»êÁø, ½´Ææ ½´Ææ ¼­¸éÁ¡,13:00~22:00,"¿ù±Þ1,900,000",7½Ã°£Àü
¼­¿ï ¿ë»ê±¸, ½´Ææ ½´Ææº»ºÎ,09:00~18:00,"¿ù±Þ1,900,000",04/18
¼­¿ï ¿ë»ê±¸, ½´Ææ ½´Ææº»ºÎ,09:00~18:00,"¿ù±Þ1,900,000",04/18
¼­¿ï ¿ë»ê±¸, ½´Ææ ½´Ææº»ºÎ,09:00~18:00,"¿ù±Þ1,900,000",04/18
¼­¿ï ¿ë»ê±¸, ½´Ææ ¿ë»ê ¾ÆÀÌÆÄÅ©¸ôÁ¡,09:00~18:00,"¿ù±Þ1,900,000",04/17
¼­¿ï ¿ë»ê±¸, ½´Ææ ¿ë»ê ¾ÆÀÌÆÄÅ©¸ôÁ¡,09:00~18:00,"¿ù±Þ1,900,000",04/15
¼­¿ï ¿ë»ê±¸, ½´Ææ ¿ë»ê ¾ÆÀÌÆÄÅ©¸ôÁ¡,09:00~18:00,"¿ù±Þ1,900,000",04/15
±¤ÁÖ ÀüÃ¼, ½´Ææ ±¤ÁÖ¿ªÁ¡,10:00~19:00,"¿ù±Þ1,900,000",04/11
±¤ÁÖ ÀüÃ¼, ½´Ææ ±¤ÁÖ¿ªÁ¡,10:00~19:00,"¿ù±Þ1,900,000",04/11
°æ±â ¼º³²½Ã, ½´Ææ ¼ÛÆÄÁ¡,09:00~22:00,"¿ù±Þ1,900,000",04/11
¼­¿ï ¼ÛÆÄ±¸, ½´Ææ ¼ÛÆÄÁ¡,09:00~22:00,"¿ù±Þ1,900,000",04/11
°æ±â ¼º³²½Ã, ½´Ææ ¼ÛÆÄÁ¡,09:00~22:00,"¿ù±Þ1,900,000",04/11
±¤ÁÖ ÀüÃ¼, ½´Ææ ±¤ÁÖ¿ªÁ¡,10:00~19:00,"¿ù±Þ1,900,000",04/10
