place,title,time,pay,date
경기 용인시, 써브웨이 용인동백점,07:30~23:00,"월급2,000,000",8분전
서울 종로구, SUBWAY(성대점),16:30~22:30,"시급8,590",20분전
경기 수원시, 써브웨이 광교경기대후문점,07:30~22:00,"시급8,590",20분전
경기 수원시, 써브웨이광교엘포트점,10:00~13:30,"시급9,000",1시간전
경기 평택시, 써브웨이 평택로데오점,16:00~22:30,"시급8,590",2시간전
서울 관악구, 써브웨이 서울대점,10:30~17:30,"시급8,590",2시간전
울산 중구, 써브웨이 성남점,08:00~11:00,"시급8,590",3시간전
서울 용산구, 써브웨이 한남점,07:40~14:00,"시급8,600",3시간전
경기 부천시, 써브웨이(SUBWAY) 부천역곡역점,17:00~23:30,"시급8,600",4시간전
서울 전체, 써브웨이 구로디지탈점,08:00~22:00,"시급8,590",4시간전
인천 부평구, 써브웨이 부평중앙점,16:00~23:30,"시급10,308",4시간전
서울 강동구, 써브웨이 천호점,13:00~23:00,"시급8,700",4시간전
울산 중구, 써브웨이 성남점,08:00~11:00,"시급8,590",5시간전
서울 관악구, 서브웨이 서초법원점,13:30~22:30,"월급2,000,000",5시간전
서울 관악구, 서브웨이 서초법원점,13:30~22:30,"월급2,000,000",5시간전
경기 수원시, 써브웨이광교엘포트점,10:00~13:30,"시급9,000",5시간전
충남 천안시, 써브웨이 두정점,17:00~23:30,"시급8,590",6시간전
경기 부천시, 써브웨이(SUBWAY) 부천역곡역점,17:00~23:30,"시급8,600",6시간전
경기 성남시, 써브웨이 분당정자,16:00~22:30,"시급8,600",7시간전
경기 용인시, 써브웨이 용인동백점,17:00~23:00,"시급8,590",7시간전
경기 수원시, 써브웨이 수원망포역점,17:00~22:00,"시급8,590",8시간전
서울 관악구, 써브웨이 서울대점,10:30~17:30,"시급8,590",8시간전
경기 고양시, 써브웨이마두역점,13:00~22:30,"시급8,590",13시간전
서울 강동구, 써브웨이 천호점,13:00~20:00,"시급8,700",04/20
서울 관악구, 서브웨이 서초법원점,13:30~22:30,"월급2,000,000",04/19
부산 해운대, 써브웨이 부산 좌동점(장산역),00:00~24:00,"월급1,900,000",04/19
부산 해운대, 써브웨이 부산 좌동점(장산역),00:00~24:00,"시급8,590",04/19
경기 부천시, 써브웨이(SUBWAY) 부천역곡역점,17:00~23:30,"시급8,600",04/18
경북 경산시, 써브웨이 경산영남대점,07:30~24:00,"시급8,590",04/16
충남 천안시, 써브웨이 천안신부점,17:00~23:30,"시급8,590",04/14
서울 전체, 써브웨이 구로디지탈점,08:00~22:00,"시급8,590",04/13
충남 천안시, 써브웨이 두정점,12:00~08:00,"월급2,000,000",04/12
서울 송파구, 써브웨이 잠실새내역점,08:00~15:00,"시급8,600",04/10
충남 천안시, 써브웨이 두정점,12:00~08:00,"월급2,000,000",04/10
서울 종로구, SUBWAY(성대점),16:30~22:30,"시급8,590",04/07
서울 종로구, SUBWAY(성대점),11:30~15:30,"시급8,590",04/05
