place,title,time,pay,date
서울 관악구, 아비꼬카레 신림역점,11:00~23:00,"월급2,450,000",4분전
서울 관악구, 아비꼬카레 신림역점,10:00~22:00,"월급2,450,000",50분전
서울 구로구, 아비꼬 타임스퀘어점,15:30~21:00,"시급10,310",2시간전
서울 영등포, 아비꼬 타임스퀘어점,15:30~21:00,"시급10,310",2시간전
서울 영등포, 아비꼬 타임스퀘어점,09:00~16:00,"시급10,310",2시간전
서울 구로구, 아비꼬 타임스퀘어점,19:00~21:00,"시급10,310",2시간전
서울 마포구, 아비꼬 타임스퀘어점,19:00~21:00,"시급10,310",2시간전
경기 이천시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 이천시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 이천시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
경기 이천시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",2시간전
서울 관악구, 아비꼬카레 신림역점,10:00~22:00,"월급2,450,000",6시간전
경기 이천시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/19
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/19
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/19
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/19
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/19
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/19
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/19
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/19
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/19
경기 이천시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/19
경기 구리시, 쿠산코리아(주),10:00~22:00,"시급8,590",04/18
서울 관악구, 아비꼬카레 신림역점,10:00~22:00,"월급2,450,000",04/18
경기 이천시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/17
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/17
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/17
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/17
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/17
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/17
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/17
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/17
경기 여주시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/17
경기 이천시, 쿠산코리아(주) 여주공장,09:00~18:00,"연봉25,000,000",04/17
