place,title,time,pay,date
서울 강북구, 아소비 강북도봉지사,14:00~18:00,"월급2,000,000",2분전
서울 강북구, 아소비 강북도봉지사,14:00~18:00,"월급2,000,000",3분전
서울 강북구, 아소비 강북도봉지사,14:00~18:00,"월급2,000,000",4분전
서울 성북구, 아소비 성북지사,14:00~18:00,"월급2,000,000",5분전
서울 성북구, 아소비 성북지사,14:00~18:00,"월급2,000,000",6분전
서울 도봉구, 아소비 성북지사,14:00~18:00,"월급2,000,000",8분전
서울 동대문, 아소비 동대문성동지사,14:00~19:00,"월급2,500,000",43분전
서울 광진구, 아소비 동대문성동지사,14:00~19:00,"월급2,500,000",44분전
서울 성동구, 아소비 동대문성동지사,14:00~19:00,"월급2,500,000",45분전
경기 의왕시, 아소비 군포의왕지사,14:00~18:00,"월급2,000,000",2시간전
경북 포항시, 아소비 포항경주지사,13:00~18:00,"월급1,800,000",2시간전
경기 안양시, 아소비 안양과천지사,14:00~18:00,"월급2,000,000",2시간전
경북 포항시, 아소비 포항경주지사,13:00~18:00,"월급1,800,000",2시간전
충북 충주시, 아소비 충주제천지사,13:00~18:00,"월급1,800,000",2시간전
경기 과천시, 아소비 안양과천지사,14:00~18:00,"월급2,000,000",2시간전
경북 포항시, 아소비 포항경주지사,13:00~18:00,"월급1,600,000",2시간전
충북 충주시, 아소비 충주제천지사,13:00~18:00,"월급1,800,000",2시간전
충북 충주시, 아소비 충주제천지사,13:00~18:00,"월급1,800,000",2시간전
경북 구미시, 아소비 대구북구구미지사,13:30~18:30,"월급2,000,000",2시간전
대구 북구, 아소비 대구북구구미지사,13:30~18:30,"월급1,700,000",2시간전
경북 구미시, 아소비 대구북구구미지사,13:30~18:30,"월급4,000,000",2시간전
경기 여주시, 아소비 여주지사,14:00~18:30,"월급2,000,000",2시간전
경기 여주시, 아소비 여주지사,14:00~18:30,"월급2,000,000",2시간전
경기 여주시, 아소비 여주지사,14:00~18:30,"월급2,000,000",2시간전
경기 이천시, 아소비 이천지사,14:00~18:00,"월급2,000,000",2시간전
경기 이천시, 아소비 이천지사,14:00~18:00,"월급2,000,000",2시간전
경기 이천시, 아소비 이천지사,14:00~18:00,"월급2,000,000",2시간전
경기 광주시, 아소비 경기광주지사,14:00~18:30,"월급2,000,000",2시간전
경기 광주시, 아소비 경기광주지사,14:00~18:30,"월급2,000,000",2시간전
경기 광주시, 아소비 경기광주지사,14:00~18:30,"월급2,000,000",2시간전
대전 서구, 아소비 대전지사,14:00~18:00,"월급2,000,000",3시간전
대전 서구, 아소비 대전지사,14:00~18:00,"월급2,000,000",3시간전
부산 기장군, 아소비 부산남부지사,14:00~18:00,"월급1,600,000",3시간전
대전 서구, 아소비 대전지사,14:00~18:00,"월급2,000,000",3시간전
충남 금산군, 아소비 계룡논산금산지사,14:00~18:00,"월급2,000,000",3시간전
부산 기장군, 아소비 부산남부지사,14:00~18:00,"월급1,600,000",3시간전
충남 논산시, 아소비 계룡논산금산지사,14:00~18:00,"월급2,000,000",3시간전
충남 계룡시, 아소비 계룡논산금산지사,14:00~18:00,"월급2,000,000",3시간전
부산 기장군, 아소비 부산남부지사,14:00~18:00,"월급1,600,000",3시간전
경남 양산시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",3시간전
경남 김해시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",3시간전
경남 양산시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",3시간전
제주 전체, 아소비 제주지사,13:00~18:00,"월급1,600,000",3시간전
제주 제주시, 아소비 제주지사,13:00~18:00,"월급1,600,000",3시간전
울산 북구, 아소비 울산지사,13:00~19:00,"월급1,600,000",4시간전
울산 북구, 아소비 울산지사,13:00~19:00,"월급1,600,000",4시간전
울산 중구, 아소비 울산지사,13:00~19:00,"월급1,600,000",4시간전
전북 전주시, 아소비 전북지사,14:00~18:00,"월급1,700,000",5시간전
전북 전주시, 아소비 전북지사,14:00~18:00,"월급1,700,000",5시간전
전북 전주시, 아소비 전북지사,14:00~18:00,"월급1,700,000",5시간전
