place,title,time,pay,date
경기 성남시, OIS 센터,08:00~17:00,"시급9,500",1시간전
경기 안성시, 아워홈 동아방송예술대안성점,09:00~18:00,"시급8,590",1시간전
서울 영등포, 아워홈 국민은행본점(증권빌딩점),10:00~15:00,"시급8,590",2시간전
전북 전주시, 아워홈 한별여성병원전주점,06:00~15:00,"일급68,720",2시간전
경기 화성시, 아워홈 쏘나브이피씨화성점,08:00~19:00,"시급8,590",3시간전
충북 전체, 아워홈 코스카CC음성점,08:30~17:30,"시급8,590",7시간전
서울 강남구, 아워홈 대성학원강남점,11:00~20:00,"시급8,590",04/18
충남 아산시, 아워홈 이엔에프테크놀로지아산점,08:00~14:30,"월급1,300,000",04/13
경기 성남시, 아워홈 네오트랜스분당점,09:00~15:00,"시급8,590",04/12
경기 전체, 아워홈 아주대병원장례식장점,06:00~15:00,"일급80,000",04/12
경기 고양시, 아워홈 일산글로벌라이프센터점,10:00~19:00,"일급68,720",04/12
충북 청주시, 아워홈 LG화학오송점,06:00~14:30,"일급69,000",04/10
서울 강서구, 아워홈 LG사이언스파크강서점,08:00~17:00,"시급9,000",04/10
경기 화성시, 아워홈 노블아이병원동탄점,06:00~15:00,"일급68,720",04/10
충남 서산시, 아워홈 씨텍대산점,08:30~17:30,"월급2,200,000",04/05
서울 강남구, 아워홈 대성학원강남점,11:00~20:00,"시급8,590",04/04
