place,title,time,pay,date
대구 북구, 교원웰스 S북대구,09:00~18:00,"건별210,000",15시간전
대구 북구, 교원웰스 M북대구,09:00~18:00,"건별170,000",15시간전
충북 보은군, 교원웰스 M충북,09:00~14:00,"건별170,000",15시간전
충북 괴산군, 교원웰스 M충북,09:00~14:00,"건별220,000",15시간전
충북 단양군, 교원웰스 M충북,09:00~14:00,"건별170,000",15시간전
경북 구미시, 웰스 구미지역단,09:00~18:00,"건별170,000",16시간전
경북 구미시, 웰스 구미,09:00~18:00,"건별170,000",16시간전
충남 전체, 교원웰스 M천안,09:30~06:00,"건별220,000",16시간전
대구 달성군, 교원웰스 M동대구,09:30~18:00,"월급2,000,000",04/19
강원 원주시, 교원웰스 M강원,09:00~18:00,"월급1,300,000",04/14
대구 북구, 교원웰스 M북대구,09:00~18:00,"건별170,000",04/13
대구 북구, 교원웰스 S북대구,09:00~18:00,"건별210,000",04/13
광주 서구, 교원웰스 M신광주,09:00~18:00,"건별210,000",04/10
제주 제주시, 교원웰스 M신광주,09:00~18:00,"건별210,000",04/10
제주 서귀포, 교원웰스 M신광주,09:00~18:00,"건별210,000",04/10
제주 제주시, 교원웰스 S신광주,09:00~18:00,"건별170,000",04/10
제주 서귀포, 교원웰스 S신광주,09:00~18:00,"건별170,000",04/10
광주 서구, 교원웰스 S신광주,09:00~18:00,"건별170,000",04/10
대구 북구, 교원웰스 S북대구,09:00~18:00,"건별210,000",04/05
대구 북구, 교원웰스 M북대구,09:00~18:00,"건별170,000",04/05
