place,title,time,pay,date
전남 목포시, 한솔교육 주니어플라톤,14:00~20:00,"월급1,500,000",5분전
전남 여수시, (주)한솔교육 여수지점,13:00~21:00,"월급2,000,000",17분전
전남 여수시, (주)한솔교육 여수지점,13:00~21:00,"월급2,000,000",18분전
전남 여수시, (주)한솔교육 여수지점,13:00~21:00,"월급2,000,000",19분전
광주 전체, (주) 광주 주니어플라톤센터,13:00~20:00,"월급1,800,000",30분전
전남 순천시, 순천플라톤센터,13:00~21:00,"월급1,800,000",35분전
전남 여수시, (주)한솔교육여수센터,13:00~21:00,"월급1,800,000",36분전
경기 김포시, 김포플라톤센터,10:00~19:00,"월급1,580,000",44분전
대전 유성구, 한솔교육대전유성지점,14:00~20:00,"월급2,400,000",53분전
대전 유성구, 한솔교육대전유성지점,14:00~20:00,"월급2,400,000",54분전
대전 유성구, 한솔교육대전유성지점,14:00~20:00,"월급2,400,000",54분전
부산 동래구, 한솔교육 부산지점,15:00~21:00,"월급1,500,000",2시간전
부산 동래구, 한솔교육 부산영어지점,15:00~21:00,"월급1,800,000",2시간전
부산 동래구, 한솔교육 부산지점,14:00~21:00,"월급1,800,000",2시간전
경기 김포시, 김포플라톤센터,10:00~19:00,"월급1,580,000",2시간전
광주 전체, 한솔교육광주영어지점,15:00~21:00,"월급2,500,000",2시간전
광주 전체, 한솔교육광주영어지점,15:00~21:00,"월급2,500,000",2시간전
광주 전체, 한솔교육광주영어지점,15:00~21:00,"월급2,500,000",2시간전
경기 하남시, 한솔교육 강동하남지점,11:00~20:00,"월급1,800,000",2시간전
전북 군산시, 한솔교육군산지점,13:00~20:00,"월급1,800,000",3시간전
전북 군산시, 한솔교육군산지점,13:00~20:00,"월급1,800,000",3시간전
경기 동두천, 한솔교육 의정부지점,14:00~20:00,"월급1,500,000",4시간전
경기 의정부, 한솔교육 의정부지점,14:00~20:00,"월급1,500,000",4시간전
경기 양주시, 한솔교육 의정부지점,14:00~20:00,"월급1,500,000",4시간전
서울 노원구, 한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",5시간전
서울 노원구, 한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",5시간전
서울 노원구, 한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",5시간전
서울 강동구, (주)한솔교육,15:00~21:00,"월급1,800,000",5시간전
서울 도봉구, 한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",5시간전
서울 강북구, 한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",5시간전
서울 도봉구, 한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",5시간전
경남 양산시, (주)한솔교육,15:00~21:00,"월급1,800,000",5시간전
인천 서구, 한솔교육 서인천지점,15:00~19:30,"월급1,700,000",5시간전
인천 서구, 한솔교육 서인천지점,15:00~19:40,"월급1,700,000",5시간전
인천 서구, 한솔교육 서인천지점,15:00~19:40,"월급1,700,000",5시간전
경기 김포시, 한솔교육,15:00~21:00,"월급1,800,000",6시간전
경기 의왕시, 한솔교육,15:00~21:00,"월급1,800,000",6시간전
울산 북구, 한솔교육,15:00~21:00,"월급1,800,000",6시간전
부산 해운대, (주)한솔교육,15:00~21:00,"월급1,800,000",6시간전
인천 서구, (주)한솔교육,15:00~21:00,"월급1,800,000",6시간전
울산 울주군, (주)한솔교육,15:00~21:00,"월급1,800,000",6시간전
서울 성북구, (주)한솔교육,15:00~21:00,"월급1,800,000",6시간전
울산 중구, (주)한솔교육,15:00~21:00,"월급1,800,000",6시간전
서울 성북구, 한솔교육,15:00~21:00,"월급1,800,000",6시간전
경기 의정부, 한솔교육,15:00~21:00,"월급1,800,000",6시간전
경기 양주시, 한솔교육,15:00~21:00,"월급1,800,000",6시간전
부산 기장군, (주)한솔교육,15:00~21:00,"월급1,800,000",6시간전
서울 성동구, (주)한솔교육,15:00~21:00,"월급1,800,000",6시간전
서울 광진구, (주)한솔교육,15:00~21:00,"월급1,800,000",6시간전
인천 남동구, (주)한솔교육,15:00~21:00,"월급1,800,000",6시간전
