place,title,time,pay,date
충북 청주시, 할리스커피 청주명암레이크점,08:00~23:00,"월급1,800,000",1시간전
인천 남동구, 할리스커피 인천소래역점,09:00~15:00,"시급8,590",2시간전
경남 진주시, 할리스커피 진주평거점,18:30~22:30,"시급8,590",2시간전
대전 서구, 할리스커피 대전둔산청솔점,11:00~15:00,"시급8,590",2시간전
경기 화성시, 할리스커피 할리스 제부도점,09:00~23:00,"월급1,800,000",3시간전
경기 수원시, 할리스커피 할리스 수원SKY1모터스점,07:30~22:30,"월급1,800,000",3시간전
부산 부산진, 할리스커피 부산서면본점,23:00~06:30,"시급8,590",4시간전
서울 강서구, 할리스커피 마곡퀸즈파크나인점,15:00~24:00,"월급2,000,000",4시간전
경기 이천시, 할리스커피 이천마장점,19:00~23:00,"시급8,600",5시간전
울산 남구, 할리스커피 울산신정점,08:00~23:00,"시급8,590",5시간전
전북 전주시, 할리스커피 전주백제대로점,12:00~18:00,"시급8,590",6시간전
부산 동래구, 할리스커피 부산동래역점,23:00~06:30,"시급8,590",6시간전
서울 동작구, 할리스커피 장승배기역점,08:00~11:00,"시급8,590",8시간전
서울 서초구, 할리스커피 구반포역점,17:00~22:00,"시급8,590",8시간전
부산 부산진, 할리스커피 부산서면본점,23:00~06:30,"시급8,590",8시간전
충북 청주시, 할리스커피 청주하복대점,09:30~13:00,"시급8,590",9시간전
경남 창원시, 할리스커피 할리스 진해속천점,11:00~15:00,"시급8,590",9시간전
대구 동구, 할리스커피 대구안심점,13:00~17:00,"시급8,590",04/19
전북 군산시, 할리스커피 군산새만금산단점,11:00~20:00,"월급1,800,000",04/18
경기 시흥시, 할리스커피 시흥은계점,19:00~22:00,"시급8,590",04/18
인천 남동구, 할리스커피 인천소래역점,09:00~15:00,"시급8,590",04/17
경남 양산시, 할리스커피 양산석산점,16:00~23:30,"시급8,590",04/16
경북 성주군, 할리스커피 성주성밖숲점,09:00~22:00,"월급2,300,000",04/14
경기 수원시, 할리스커피 수원팔달문점,10:00~23:00,"시급8,590",04/13
경북 칠곡군, 할리스커피 칠곡왜관점,14:00~23:00,"연봉25,000,000",04/11
전북 군산시, 할리스커피 군산새만금산단점,11:00~20:00,"월급1,800,000",04/10
세종 가람동, 할리스커피 세종가람DT점,07:00~22:00,"월급1,800,000",04/10
